614,Kanisa la kisasa maswali ya kujifunza
615, PHILADELPHIA ina maanisha nini?
616,A. upendo wa kindugu B. huruma ya Mungu C. uvumilivu wa tumaini D. mji wa amani
617,A. Filadelfia ina maanisha upendo wa kindugu.
618,Ni maneno yapi katika kundi la maneno yafuatayo ambayo ni maelezo bora kwa kipindi cha kanisa la kisasa?
619,"A. umasikini, ibada B. sanamu, uchoyo C. wamishionari, uamsho D.viwanda, pesa
620,C. Hiki kilikuwa kipindi kilicho husishwa na juhudi za kimishenari na uamsho mkuu.
621,katika inchi gani mbili mwuamko kuu ulitokea mapema mnamo 1700s?
622,A. Ufaransa na Uingereza B. Uingereza na Amerika C. Sweden na Amerika D. Ujerumani na Amerika623,B. Mwuamko mkuu ulikuwa uamsho wenye nguvu katika inchi zote yaani Uingereza na Amerika mapema mwaka 1700&nukuu;s.
624,Ni akina nani ambao walikuwa viongozi wa mwuamko mkuu wa pili?
625,"A. Finney Moody Spurgeon B. Knox Zwingli Smith C. Calvin Erasmus Luther D. Wesley Whitefield Moody
626,"A. Finney Moody Spurgeon "
627,"Kuelekea kwenye kipindi cha kanisa la kisasa ni mfumo gani wa imani kwa majivuno ulizuia uinjilisti kwa mataifa ya kipagani?"
628,A. Ibanda ya jumapili B. Ibada ya watoto wachanga C.Ekaristi ya Wakatoliki D. Nadharia ya kalivini
629,D. Nadharia ya mafundisho ya ukalivini. Mataifa ya kipagani yaliamini kwa nadharia karibu sawa kabisa na hakuna tumaini la wokovu.   Kwasababu ya ufuasi kwenye fundisho hili la uongo hilo lilikuwa ni wazo la kutokuwa na ulazima wakusafiri kwenda mataifa ya kipagani ambayo tangu zamani haya kupangwa kuokolewa.
630,___________   ____________ alikuwa Baba wa muondoko wa umishenari wa kisasa na mmishenari wa kwanza anaye zungumza kiingereza kwenda India.
631,Jaza nafasi ilio achwa wazi.
632,William Carey
633,___________   ____________  alikuwa ameitwa  mtafuta njia barani Afrika.
634,Jaza nafasi ilioachwa wazi.
635,David Livingstone
636,Uamsho wa mtaa __________wa 1906 ulikuwa umwagikaji wenye nguvu wa Roho Mtakatifu katika Los Angelas California.
637,Jaza nafasi ilioachwa wazi.
638,Azusa
639,Billy ______________ na Smith _______________ walikuwa wahubiri wasio weza wa kipindi hiki. (majina yao walikuwa nani?)
640,Jaza nafasi ilioachwa wazi.
641,"Sunday, Wigglesworth
642,"Katika mwaka 1950' Oral Roberts A.A. Allen na William Branham wote walihubiri mara kwa mara katika ________   __________."
643,Jaza nafasi ilioachwa wazi.
644,Uamsho wa mahemani
1500,Adoniram Judson alikuwa mmishonari wa Afrika.
1501,Kweli au sio kweli.
1502,Sio kweli. 
1503,Hudson Taylor alikuwa mmishenari mkuu ila kamwe hakuanzisha wa mishenari wengine zaidi yake mwenyewe.
1504,Kweli au Sio kweli.
1505,Sio kweli. Hudson Taylor alipanda wamishenari 849.
1506,Billy Sunday alihubiri kwa nguvu dhidi ya pombe.
1507,Kweli au sio kweli.
1508,kweli.
1509,Smith Wigglesworth alikuwa na huduma kubwa ya uponyaji.
1510,Kweli au sio kweli.
1511,Kweli.
1512,Charles Spurgeon kwa uaminifu alichunga Kanisa lake kwa miaka 15 akihubiri watu karibia 100 kila wiki.
1513,Kweli au Sio kweli.
1514,Sio kweli. Spurgeon alikuwa mkuu wa wachungaji aliyekuwa mchungaji wa Hema ya ubatizo ya Metropolitan huko London. Yeye alihubiria karibu watu 5000 kwa wiki kwa muda wa miaka 40.
